sku,product_name,stock_quantity,unit,warehouse_location,last_updated
IMG001,Indomie Mi Goreng Original,320,dus,WH-A01,2025-01-15
IMA002,Indomie Mi Instan Rasa Ayam Bawang,280,dus,WH-A02,2025-01-15
MSG003,Mie Sedaap Goreng Original,150,dus,WH-A03,2025-01-15
LMN004,Le Minerale Air Mineral 600ml,400,karton,WH-B01,2025-01-15
AQA005,Aqua Air Mineral 600ml,380,karton,WH-B02,2025-01-15
TBS006,Teh Botol Sosro Original,200,karton,WH-C01,2025-01-15
KKA007,Kopi Kapal Api Special Mix Sachet,500,renteng,WH-C02,2025-01-15
GGS008,Gula Pasir Rose Brand 1kg,180,karton,WH-D01,2025-01-15
SKM009,Susu Kental Manis Frisian Flag Cokelat,120,karton,WH-D02,2025-01-15
PSS010,Pocari Sweat 500ml,160,karton,WH-E01,2025-01-15
SBR011,Sabun Mandi Cair Lifebuoy Total 10 Protect Merah,90,dus,WH-E02,2025-01-15
