sku,official_name,colloquial_names,pack_size_desc,embedding_text
IMG001,Indomie Mi Goreng Original,"Indomie Goreng; Mi Goreng; Mie Goreng Bungkusan Merah; Indomie Merah",1 dus = 40 pcs,"Indomie Goreng. Mi Goreng kering tidak berkuah. Produk Indomie Mi Goreng Original rasa goreng bungkusan merah. Nama populer: Indomie Goreng, Mi Goreng, Mie Goreng, Indomie Merah. SKU IMG001. Kemasan 1 dus berisi 40 bungkus."
IMA002,Indomie Mi Instan Rasa Ayam Bawang,"Indomie Kuah; Indomie Kuning; Mie Ayam Bawang; Indomie Rebus",1 dus = 40 pcs,"Produk Indomie Mi Instan Rasa Ayam Bawang. Nama umum: Indomie Kuah, Indomie Kuning, Mie Ayam Bawang, Indomie Rebus. SKU IMA002. Kemasan 1 dus berisi 40 bungkus."
MSG003,Mie Sedaap Goreng Original,"Mie Sedap Goreng; Sedaap Goreng; Mi Sedap",1 dus = 40 pcs,"Produk Mie Sedaap Goreng Original. Nama lain: Mie Sedap Goreng, Sedaap Goreng. SKU MSG003. Kemasan 1 dus berisi 40 bungkus."
LMN004,Le Minerale Air Mineral 600ml,"Le Mineral; Air Le Mineral; Le Min; Air Mineral Botol Kecil",1 karton = 24 botol,"Produk Le Minerale Air Mineral 600ml. Nama populer: Le Mineral, Air Le Mineral, Le Min. SKU LMN004. Karton berisi 24 botol."
AQA005,Aqua Air Mineral 600ml,"Aqua; Air Aqua; Air Mineral Aqua; Aqua Botol Kecil",1 karton = 24 botol,"Produk Aqua Air Mineral 600ml. Nama lain: Air Aqua, Air Mineral Aqua. SKU AQA005. Karton berisi 24 botol."
TBS006,Teh Botol Sosro Original,"Teh Botol; Teh Kotak; Sosro; Teh Sosro",1 karton = 24 kotak,"Produk Teh Botol Sosro Original. Nama populer: Teh Botol, Teh Kotak, Sosro. SKU TBS006. Karton berisi 24 kotak."
KKA007,Kopi Kapal Api Special Mix Sachet,"Kapal Api Mix; Kopi Kapal Api; Kopi Saset Hitam; Kopi Kapal",1 renteng = 10 sachet,"Produk Kopi Kapal Api Special Mix Sachet. Nama lain: Kapal Api Mix, Kopi Saset Hitam. SKU KKA007. Renteng berisi 10 sachet."
GGS008,Gula Pasir Rose Brand 1kg,"Gula Rose Brand; Gula Pasir; Gula Putih; Gula Rose",1 karton = 20 kg,"Produk Gula Pasir Rose Brand 1kg. Nama populer: Gula Rose Brand, Gula Pasir, Gula Putih. SKU GGS008. Karton berisi 20 pack 1kg."
SKM009,Susu Kental Manis Frisian Flag Cokelat,"Susu Bendera Cokelat; SKM Cokelat; Susu Kaleng Cokelat; Frisian Flag Coklat",1 karton = 48 kaleng,"Produk Susu Kental Manis Frisian Flag Cokelat. Nama lain: Susu Bendera Cokelat, SKM Cokelat. SKU SKM009. Karton berisi 48 kaleng."
PSS010,Pocari Sweat 500ml,"Pocari; Pocari Botol; Minuman Pocari; Isotonik Pocari",1 karton = 24 botol,"Produk Pocari Sweat 500ml. Nama populer: Pocari, Pocari Botol, Isotonik Pocari. SKU PSS010. Karton berisi 24 botol."
SBR011,Sabun Mandi Cair Lifebuoy Total 10 Protect Merah,"Lifebuoy Merah; Sabun Lifebuoy; Sabun Merah; Sabun Cair Merah",1 dus = 12 botol,"Produk Sabun Mandi Cair Lifebuoy Total 10 Protect Merah. Nama umum: Lifebuoy Merah, Sabun Lifebuoy, Sabun Merah. SKU SBR011. Dus berisi 12 botol."
