intent_name,description,query_variations,embedding_text,example_count
add_amount_of_item_in_cart,Customer wants to increase the quantity of an item already in the cart.  Examples:,Add 2 more boxes of noodles;Make it 5 total;Tambah 3 lagi;Naikkan jadi 5,tambah jumlah barang di keranjang. naikkan kuantitas item. pelanggan menambah jumlah pesanan yang sudah ada. Contoh: tambah 3 lagi | naikkan jadi 5 | tambah lagi 2 | mau 5 total | tambah jumlahnya,5
add_item_to_cart,Customer wants to add a specific product with a specified quantity to the cart.  Examples:,I want to order 2 boxes of noodles;Add 5 cartons of mineral water to my cart;Saya ingin pesan 2 dus indomie goreng;Mau order 3 karton air mineral,tambah ke keranjang belanja. pesan produk dengan jumlah tertentu. mau order barang. Contoh: Saya ingin pesan 2 dus indomie goreng | Mau order 3 karton air mineral | mau pesan 5 karton teh botol | order 2 dus | tambahkan ke pesanan,5
add_item_to_cart_but_no_item_specified,Customer wants to add something to the cart but hasn't specified the product.  Examples:,I want to order something;Can I add an item?;Saya mau pesan sesuatu;Ingin beli barang,tambah ke keranjang tanpa sebutkan produk. mau pesan tapi belum pilih produknya. Contoh: mau pesan sesuatu | ingin beli barang | mau order tapi belum tahu produknya | mau tambah ke keranjang tapi belum pilih produknya,5
apply_promo_code,Customer wants to apply a promotional code to their order.  Examples:,I have a promo code: DISC20;Apply coupon SALE10;Pakai kode promo DISC20;Ada kode voucher,pakai kode promo. masukkan kode voucher. gunakan kupon diskon. Contoh: pakai kode promo DISC20 | ada kode voucher | gunakan kupon | masukkan kode | punya kode promo,5
asking_general_questions,Customer asks a general question not related to a specific product or cart action.  Examples:,What are your operating hours?;How long does delivery take?;Jam buka sampai jam berapa;Apa layanan yang tersedia,pertanyaan umum. jam buka berapa. jam operasional toko. informasi layanan. berapa jam buka tutup. pertanyaan soal kebijakan. apa layanan yang ada.,5
asking_priority_products,Customer asks to see the product catalog or available items.  Examples:,What products do you have?;Show me your catalog;Tampilkan katalog produk;Produk apa saja yang ada,lihat katalog produk. daftar produk tersedia. tampilkan semua produk. Contoh: tampilkan katalog | produk apa saja yang ada | mau lihat daftar produk | produk apa yang dijual,5
asking_specific_product,"Customer asks about a specific product's details, price, or availability.  Examples:",Is noodle instant available?;How much is the cooking oil?;Apakah barang tersedia;Berapa harganya,berapa harga produk ini. apakah produk ini tersedia. ada stok produk ini tidak. tanya harga dan ketersediaan produk tertentu. Contoh: berapa harganya | apakah tersedia | ada stok tidak | harga produk berapa | apakah ada produk ini,5
cancel_adding_item_to_cart,Customer decides not to add an item after all.  Examples:,"Cancel that, forget it;Tidak jadi pesan;Batalkan saja",batal tambah ke keranjang. tidak jadi pesan. tidak jadi beli. Contoh: tidak jadi pesan | batalkan | tidak usah ditambahkan | batal beli,4
cancel_checkout,Customer wants to cancel the checkout process.  Examples:,Cancel checkout;Batal bayar;Tidak jadi checkout,batalkan checkout. batal bayar. tidak jadi checkout. Contoh: batalkan checkout | batal bayar | tidak jadi checkout,4
checkout,Customer is ready to proceed with payment and complete the order.  Examples:,Checkout now;I want to pay;Proceed to payment;Checkout sekarang;Saya mau bayar,checkout. bayar sekarang. proses pembayaran. lanjut bayar. Contoh: checkout sekarang | mau bayar | lanjut bayar | proses pembayaran | saya mau bayar,6
farewell_intent,Customer sends a farewell or closing message.  Examples:,"Thank you, goodbye;Bye!;Terima kasih sampai jumpa;Makasih ya","sampai jumpa. terima kasih. pamitan. penutup percakapan. Contoh: terima kasih sampai jumpa | bye | makasih ya | sampai ketemu lagi | dadah",5
favorite_product_stock_check_by_category,Customer asks to check stock of their favorite products by category.  Examples:,Check my favorites;My favorite products;Cek produk favorit saya;Produk favorit saya,cek produk favorit. lihat stok produk langganan. Contoh: cek produk favorit saya | produk favorit saya | lihat produk langganan | cek stok produk favorit,5
greeting_intent,Customer sends a greeting message.  Examples:,Hello;Good morning;Hi there;Halo;Selamat pagi,sapa atau salam. hai. halo. selamat pagi. permisi. Contoh: halo | selamat pagi | hai kak | permisi | selamat siang | hei,7
not_applying_promo_code,Customer explicitly chooses not to use a promo code.  Examples:,No promo code;Skip the coupon step;Tidak pakai promo;Tidak ada kode promo,tidak pakai kode promo. skip voucher. lewati langkah promo. Contoh: tidak pakai promo | tidak ada kode | langsung saja | tidak perlu kode,5
question_about_customer_profile_points,Customer asks about their reward points balance.  Examples:,How many points do I have?;Check my reward points;Berapa poin saya;Cek poin reward saya,cek saldo poin. berapa poin saya. tanya poin reward. Contoh: berapa poin saya sekarang | cek poin reward | saldo poin berapa | poin saya ada berapa,5
question_about_customer_profile_priority,Customer asks about their priority or membership status.  Examples:,Am I a priority customer?;Saya pelanggan prioritas tidak;Status member saya,status pelanggan prioritas. level member. apakah saya pelanggan prioritas. Contoh: saya pelanggan prioritas tidak | status member saya | apakah saya prioritas | level member saya,4
reduce_amount_of_item_in_cart,Customer wants to decrease the quantity of an item in the cart.  Examples:,Remove one box of milk;Change to 2 cartons instead of 3;Kurangi 1;Turunkan jadi 2,kurangi jumlah barang di keranjang. turunkan kuantitas. Contoh: kurangi 1 | turunkan jadi 2 | kurangi jumlahnya | hapus satu dari keranjang,5
view_cart,Customer wants to see the contents of their cart.  Examples:,Show my order list;How many items do I have?;Lihat isi keranjang;Tampilkan pesanan saya,lihat keranjang belanja. isi pesanan saya. tampilkan daftar belanja. Contoh: lihat isi keranjang | tampilkan pesanan saya | daftar belanja saya | isi keranjang saya,5
